Organism/Name,Strain,SubGroup,Size (Mb),Scaffolds,Genes,Proteins
Drosophila yakuba,Tai18E2,Insects,165.71,8123,16079,23317
Homo sapiens,,Mammals,3231.3,801,56201,102633
Caenorhabditis briggsae,AF16,Roundworms,108.384,638,22736,21959
Caenorhabditis elegans,Bristol N2,Roundworms,100.286,7,46711,27943
Anopheles gambiae str. PEST,PEST,Insects,265.027,8145,13184,14099
Drosophila melanogaster,,Insects,143.726,1870,17651,30443
Apis mellifera,DH4,Insects,250.287,5645,13401,21777
Danio rerio,Tuebingen,Fishes,1371.72,3399,39803,47861
Mus musculus,C57BL/6J,Mammals,2803.57,293,48855,78065
Ciona intestinalis,,Other Animals,115.227,1280,14983,15438
Takifugu rubripes,,Fishes,391.485,7091,23164,31052
Rattus norvegicus,mixed,Mammals,2870.18,1395,37647,50706
Felis catus,,Mammals,2641.34,267928,25364,33226
Bos taurus,,Mammals,2670.14,6337,32432,49107
Sus scrofa,,Mammals,2808.53,9906,38792,47400
Ornithorhynchus anatinus,,Mammals,1995.61,200283,23777,26109
Gallus gallus,,Birds,1230.26,23870,25062,46393
Meleagris gallopavo,,Birds,1128.34,233806,20903,26423
Coturnix japonica,,Birds,927.657,2531,20522,39088
Equus caballus,,Mammals,2474.93,9688,26948,36064
Oreochromis niloticus,,Fishes,927.696,5910,30411,47714
Papio anubis,,Mammals,2948.4,72501,38695,54082
Ovis aries,,Mammals,2615.52,5466,57491,85433
Canis lupus familiaris,,Mammals,2410.98,3310,30186,47089
Drosophila simulans,w501,Insects,124.966,7619,15229,24119
Pan troglodytes,,Mammals,3309.58,27005,34813,56786
Monodelphis domestica,,Mammals,3598.44,5223,36227,45804
Tribolium castaneum,Georgia GA2,Insects,210.265,2322,13181,18076
Drosophila pseudoobscura pseudoobscura,MV2-25,Insects,152.696,4790,16721,23456
Macaca mulatta,,Mammals,3236.22,286263,186,99
Schistosoma mansoni,Puerto Rico,Flatworms,364.538,885,15882,11787
Oryctolagus cuniculus,,Mammals,2737.46,3318,28903,37564
Pongo abelii,,Mammals,3441.24,79342,32434,37509
Taeniopygia guttata,,Birds,1232.14,37422,17357,19447
Salmo salar,,Fishes,2966.89,241573,116,13
Callithrix jacchus,,Mammals,2914.96,16399,34856,44212
Nasonia vitripennis,AsymCX,Insects,295.781,6169,14273,24671
Nomascus leucogenys,,Mammals,2962.06,17524,28462,38654
Oryzias latipes,Hd-rR,Fishes,869.818,7307,26074,34487
Anolis carolinensis,,Reptiles,1799.14,6646,21624,32243
Macaca fascicularis,,Mammals,2946.84,7625,33107,62703
Gorilla gorilla gorilla,,Mammals,3035.66,57197,31329,33704
Nothobranchius furzeri,GRZ,Fishes,1242.5,6012,-,-
Bombus terrestris,,Insects,248.654,5678,11188,20321
Bos indicus,,Mammals,2673.95,31,-,-
Strongyloides ratti,ED321 Heterogonic,Roundworms,43.1502,135,12451,12450
Nasalis larvatus,,Mammals,3011.97,319549,-,-
Lepisosteus oculatus,,Fishes,945.878,2106,21770,41647
Pan paniscus,,Mammals,3286.64,10984,95,15
Capra hircus,,Mammals,2635.85,77432,26912,30164
Microtus ochrogaster,,Mammals,2287.34,6450,24260,30752
Drosophila miranda,MSH22,Insects,136.729,6,-,-
Cynoglossus semilaevis,,Fishes,470.199,31181,24079,31632
Ficedula albicollis,,Birds,1118.34,21836,16778,26090
Chrysemys picta bellii,,Reptiles,2365.77,78631,24356,42558
Parus major,,Birds,1020.31,1676,35872,76327
Chlorocebus sabaeus,,Mammals,2789.66,2022,35027,61803
Esox lucius,,Fishes,904.453,1709,26012,43433
Poecilia reticulata,Guanapo,Fishes,731.622,3029,26235,42641
Capra aegagrus,,Mammals,2828.87,89498,-,-
Macaca fascicularis,,Mammals,2878.47,21,-,-
Macaca mulatta,,Mammals,3097.39,124036,-,-
Drosophila simulans,white501,Insects,141.126,11605,-,-
Ovis aries,,Mammals,2860.5,1331,-,-
Bos taurus,,Mammals,2724.98,5998,32776,28999
Felis catus,,Mammals,3160.29,104434,-,-
Rattus norvegicus,BN; Sprague-Dawley,Mammals,2616.42,7271,34589,26739
Mus musculus,mixed,Mammals,2775.06,13033,43359,30240
Caenorhabditis elegans,CB4856,Roundworms,98.3028,16,-,-
Homo sapiens,,Mammals,2863.65,4940,-,-
Homo sapiens,,Mammals,2844,4530,-,-
Drosophila simulans,white501,Insects,137.843,10601,16011,15428
Macaca mulatta,,Mammals,2969.97,38224,21524,17802
Macaca fascicularis,,Mammals,3126.56,45468,1792,1537
Drosophila simulans,M252,Insects,121.27,2948,-,-
Homo sapiens,,Mammals,3251.72,187643,-,-
Homo sapiens,,Mammals,3037.87,163,49766,40008
Homo sapiens,,Mammals,2992.79,54061,-,-
Homo sapiens,,Mammals,2872.3,6553,-,-
