user_id	Coffee consumption
2953	low
4111	medium
3840	low
3998	medium
254	high
784	medium
2552	low
829	high
830	low
836	high
865	high
2557	high
466	low
916	medium
918	low
924	low
881	high
2570	high
943	medium
945	low
966	low
972	high
990	medium
319	low
667	high
675	low
704	medium
10	low
14	high
22	low
1	medium
26	low
36	low
42	high
44	medium
45	high
55	medium
58	low
60	low
62	high
64	low
63	low
69	low
72	medium
71	high
75	medium
77	high
74	low
124	low
125	medium
141	high
146	low
158	low
159	low
177	high
202	low
203	high
251	medium
266	high
276	high
279	high
285	low
287	low
294	low
295	low
296	high
17	medium
330	low
325	low
339	low
160	medium
347	low
363	low
530	high
366	low
368	low
380	low
11	low
429	high
437	medium
345	low
441	low
468	high
473	low
35	low
495	low
501	high
502	low
86	low
539	medium
678	medium
542	low
549	high
556	low
554	high
561	medium
579	medium
187	low
583	low
585	low
503	high
594	low
595	medium
602	low
607	high
613	high
637	low
646	high
651	medium
610	medium
580	low
90	medium
684	low
693	medium
708	low
717	high
721	low
726	low
732	high
745	medium
749	medium
761	low
775	high
779	medium
782	medium
792	medium
758	low
806	low
808	high
811	medium
816	low
1051	high
1627	low
1029	low
1039	high
1040	medium
1641	low
1059	high
1062	medium
1005	low
1066	high
1075	medium
1112	medium
1123	low
2620	medium
1258	medium
1325	high
1364	medium
1375	high
1412	medium
1430	low
1439	low
1447	medium
1457	high
1459	low
1465	low
1491	low
1499	low
999	high
1626	low
2660	low
2665	low
1964	high
2677	low
2691	low
2705	medium
2707	low
1647	low
2903	high
2764	low
1686	high
1712	high
1735	medium
1738	medium
2715	high
1742	high
1759	medium
1764	high
1785	medium
4297	low
1794	medium
2334	medium
1583	low
1887	medium
1980	medium
1975	low
1987	high
2008	medium
1952	low
2072	medium
2075	medium
2099	high
2111	high
2116	medium
2131	medium
2151	low
2155	medium
2158	low
2159	medium
1239	high
1472	high
2239	high
2249	high
2275	low
2279	medium
2287	medium
2288	medium
2291	medium
2297	high
2307	medium
2314	medium
2350	high
2358	medium
2385	high
2393	medium
2412	high
3050	low
1078	low
1035	medium
2755	high
1215	low
1221	high
2732	medium
2455	low
2457	low
2743	medium
2506	low
2498	high
2504	low
2858	medium
2516	medium
2758	high
2456	medium
2901	high
2542	low
2856	medium
2890	medium
2990	medium
2874	low
2964	high
3025	medium
3043	medium
2414	low
3080	medium
3113	low
3124	medium
3172	medium
3179	high
3193	low
3196	medium
3201	medium
3400	low
3265	medium
3275	low
3280	low
3301	low
3321	low
3341	low
3343	high
3357	high
3370	low
3395	medium
3408	high
3411	high
3422	medium
3494	high
3532	low
3523	medium
3531	medium
3543	medium
3571	high
3639	high
3642	low
3651	low
3660	low
3672	medium
3689	low
814	low
3730	low
3767	low
3802	medium
3806	medium
4558	high
3964	low
3833	low
3942	high
500	medium
3922	low
3930	low
3913	medium
4009	high
3993	low
4034	high
4012	medium
3992	low
4084	low
4095	low
4073	medium
3974	low
4178	low
4224	high
4484	medium
4240	medium
4245	low
4271	high
4292	medium
4290	medium
4181	medium
4191	low
3303	low
3732	high
4343	low
3747	low
3763	medium
4356	medium
4359	medium
4387	medium
4392	low
4295	low
1111	low
4342	medium
4428	low
4517	medium
4522	low
4532	high
4539	high
4546	medium
4509	low
4438	low
4547	low
4590	high
4601	medium
4742	low
4756	high
4763	medium
4641	low
4654	medium
4784	low
4797	high
4813	low
4825	low
4832	high
4837	low
4879	high
4880	medium
