Name,Genes,Proteins,Size
Escherichia coli O157:H7 str. Sakai,5448,5292,5594480
Escherichia coli IAI39,5092,4725,5132070
Escherichia coli str. K-12 substr. MG1655,4498,4140,4641650
Escherichia coli O83:H1 str. NRG 857C,4690,4582,4894880
Escherichia coli O104:H4 str. 2011C-3493,5269,5149,5437410
Escherichia coli CFT073,5179,4897,5231430
Escherichia coli BL21(DE3),4504,4302,4558950
Escherichia coli str. K-12 substr. W3110,4591,4410,4646330
Escherichia coli SE11,5168,4968,5155630
Escherichia coli SE15,4762,4573,4839680
Escherichia coli O103:H2 str. 12009,5661,5423,5524860
Escherichia coli O111:H- str. 11128,5994,5673,5766080
Escherichia coli UTI89,5149,4963,5179970
Escherichia coli 536,4796,4542,4938920
Escherichia coli APEC O1,5545,5292,5497650
Escherichia coli O139:H28 str. E24377A,5277,5021,5249290
Escherichia coli HS,4566,4366,4643540
Escherichia coli B str. REL606,4550,4344,4629810
Escherichia coli ATCC 8739,4629,4434,4746220
Escherichia coli str. K-12 substr. DH10B,4652,4450,4686140
Escherichia coli SMS-3-5,5139,4908,5215380
Escherichia coli O157:H7 str. EC4115,5893,5631,5704170
Escherichia coli O157:H7 str. TW14359,5792,5537,5622740
Escherichia coli BW2952,4541,4347,4578160
Escherichia coli BL21(DE3),4504,4302,4558950
Escherichia coli DH1,4563,4369,4630710
Escherichia coli 'BL21-Gold(DE3)pLysS AG',4536,4322,4570940
Escherichia coli O55:H7 str. CB9615,5492,5262,5452350
Escherichia coli IHE3034,5108,4911,5108380
Escherichia coli 55989,5150,4953,5154860
Escherichia coli IAI1,4605,4450,4700560
Escherichia coli S88,5049,4696,5166120
Escherichia coli O127:H6 str. E2348/69,5186,4924,5069680
Escherichia coli 042,5353,5131,5355320
Escherichia coli O26:H11 str. 11368,6092,5833,5855530
Escherichia coli KO11FL,5009,4850,5029320
Escherichia coli ABU 83972,5055,4862,5132960
Escherichia coli UM146,5057,4779,5107560
Escherichia coli W,4996,4825,5008860
Escherichia coli ETEC H10407,5387,5124,5325890
Escherichia coli UMNK88,5836,5542,5666760
Escherichia coli NA114,5010,4720,4971460
Escherichia coli PCN033,5083,4881,5156870
Escherichia coli UMNF18,5856,5521,5635300
Escherichia coli O7:K1 str. CE10,5422,5152,5378730
Escherichia coli str. 'clone D i2',4931,4740,5038390
Escherichia coli str. 'clone D i14',4932,4742,5038390
Escherichia coli O55:H7 str. RM12579,5451,5213,5448310
Escherichia coli P12b,4953,4549,4935290
Escherichia coli KO11FL,4941,4732,5027170
Escherichia coli W,4984,4831,5005350
Escherichia coli Xuzhou21,5620,5402,5516740
Escherichia coli str. K-12 substr. MG1655,4579,4405,4638970
Escherichia coli DH1,4557,4351,4621430
Escherichia coli str. K-12 substr. MG1655,4578,4404,4638970
Escherichia coli LF82,4704,4544,4773110
Escherichia coli O25b:H4-ST131,5258,5037,5249450
Escherichia coli O104:H4 str. 2009EL-2050,5498,5283,5438170
Escherichia coli O104:H4 str. 2009EL-2071,5449,5227,5389710
Escherichia coli APEC O78,4781,4598,4798430
Escherichia coli str. K-12 substr. MDS42,3860,3713,3976200
Escherichia coli LY180,4763,4586,4835600
synthetic Escherichia coli C321.deltaA,4508,4103,4643550
Escherichia coli PMV-1,5346,5100,5210930
Escherichia coli JJ1886,5370,5151,5308280
Escherichia coli str. K-12 substr. MC4100,4472,4284,4527250
