user_id	Eye color
2953	Dark brown
4440	Brown
4441	Blue
4111	Hazel/light brown
4106	Blue
4171	Brown
4170	Brown-green
3858	Blue-grey; broken amber collarette
3847	Blue-grey
3840	Green
3973	Brown
3985	Blue-green
3998	Blue
4026	Blue-green
4088	Hazel/light brown
4133	Blue-grey
820	Brown
822	Green
609	Blue
829	Blue-grey
830	Brown-green
832	Brown
4036	Hazel
835	Brown-green
836	Blue-grey
839	Blue-grey
842	Blue-green
845	Brown
845	Brown
850	Blue
854	Brown
865	Green
2557	Brown
466	Brown
912	Blue
915	Blue
916	Brown
918	Brown
924	Brown
926	Brown
881	Blue
887	Blue
903	Blue
2568	Green
2570	Blue-green
1259	Brown
2571	Brown
2574	Brown
3004	Gray-blue
937	Blue-green
943	Dark brown
669	Blue
341	blue-grey
945	Blue-grey
951	Brown
952	Green
954	Dark brown
966	Brown
951	Brown
968	Blue
972	Blue
990	Blue
1010	Brown
1013	Hazel
319	blue-green
667	Blue-green
675	Brown
180	Hazel
704	Hazel
703	Green
8	Brown
10	Brown
13	brown
6	brown
14	Brown
22	green
1	blue-green
26	blue-green
33	Brown
36	hazel
38	blue
42	hazel
44	brown
45	blue-green
55	blue
58	blue
60	hazel
62	Brown
64	Blue
63	blue
40	Blue
69	Brown
72	Brown
71	Brown
75	brown-green
77	hazel
81	blue-green
74	blue
99	Dark blue
118	Brown
123	Blue
124	Green
125	brown
126	Brown
141	Brown
144	Brown
146	brown
154	Brown
158	brown
159	blue-green
161	GG
111	Green
168	hazel
175	Brown
26	blue-green
177	Dark blue
664	Brown
200	blue
202	blue
203	brown
204	Blue-green
207	Blue
215	blue
251	blue-green
253	blue-green
252	blue
258	Hazel/Light Brown
262	Brown
266	Dark brown
268	Brown
241	Light-mixed Green
216	Blue
276	Brown
279	brown
280	Hazel
285	Brown
287	Green
288	green
288	green
288	green
294	Blue
295	blue-green
296	hazel
305	hazel
305	hazel
305	hazel
311	Brown
322	Hazel/Light Brown
323	brown
17	green
330	Dark blue
325	Hazel
339	Brown
339	Brown
337	green
160	blue-green
347	blue-grey
349	Green
352	blue
357	Brown
363	blue-grey
366	brown
368	Blue-grey; broken amber collarette
380	brown-green
189	brown
394	green
11	brown
397	indeterminate brown-green with a subtle grey caste
411	blue
420	hazel
429	blue-green 
437	green
439	Blue-green
345	blue-grey
440	Brown
463	blue-grey
441	blue
468	hazel
42	hazel
42	hazel
36	hazel
473	gray-blue
35	Hazel
481	brown
483	Brown
488	brown
495	Green
497	Light-mixed Green
502	blue-green 
60	hazel
533	Blue
539	brown
678	Brown
542	blue-grey
328	green-brown
549	brown
556	brown-green
554	brown-green
561	Brown
563	Dark brown
567	green
572	blue-green
574	Blue
579	blue
581	green
187	Brown
583	Blue-grey
585	Blue-grey
589	Brown
503	Blue
682	Blue
595	Hazel
602	Blue
607	Blue
613	Brown-green
636	Blue-grey; broken amber collarette
637	Green
644	Brown
645	Blue-green
646	Blue-grey
650	Brown
651	Blue
610	Brown
580	Brown
90	hazel
684	Blue-grey; broken amber collarette
688	Dark brown
693	Hazel
36	hazel
430	Brown
717	Blue-grey
721	Blue-grey; broken amber collarette
722	Green-brown
726	Brown-green
734	Blue
745	Brown
748	Brown
749	Blue
754	Brown
2576	Brown
761	Hazel
762	Brown
775	Blue
776	Blue
777	Brown
778	Blue-grey
779	Blue-grey
782	Green
781	Hazel
792	Brown
795	Green
798	Brown-green
799	Brown-green
