Scientific name,Common name,Genes,Proteins,Size
Escherichia coli,E. coli,5618,5358,5478680
Arabidopsis thaliana,A. thaliana,33583,35378,119668000
Caenorhabditis elegans,C. elegans,46711,27943,100286000
Danio rerio,Zebrafish,39803,47861,1371720000
Drosophila melanogaster,Fruit fly,17651,30443,143726000
Gallus gallus,Chicken,25062,46393,1230260000
Mus musculus,Mouse,48855,78065,2803570000
Saccharomyces cerevisiae S288c,Yeast,6350,5907,12157100
Rattus norvegicus,Rat,37647,50706,2870180000
Zea mays,Corn (maize),104305,116015,2067620000
Oryza sativa Japonica Group,Rice,66100,81951,374423000
Canis lupus familiaris,Dog,30186,47089,2410980000
Influenza A virus (A/New York/392/2004(H3N2)),Influenza,12,12,13627
Human immunodeficiency virus 1,HIV,10,10,9181
Ailuropoda melanoleuca,Giant panda,27613,32507,2299510000
