#Organism/Name,GC%,Genes,Proteins,Size
Escherichia coli,50.5,5618,5358,5478680
Arabidopsis thaliana,36.0528,33583,35378,119668000
Caenorhabditis elegans,35.4317,46711,27943,100286000
Danio rerio,36.6591,39803,47861,1371720000
Drosophila melanogaster,42.0803,17651,30443,143726000
Gallus gallus,42.9197,25062,46393,1230260000
Mus musculus,41.9419,48855,78065,2803570000
Saccharomyces cerevisiae S288c,38.1556,6350,5907,12157100
Rattus norvegicus,42.3282,37647,50706,2870180000
Zea mays,46.8286,104305,116015,2067620000
Oryza sativa Japonica Group,43.5758,66100,81951,374423000
Canis lupus familiaris,41.3022,30186,47089,2410980000
Influenza A virus (A/New York/392/2004(H3N2)),42.9178,12,12,13627
Human immunodeficiency virus 1,42.1,10,10,9181
Ailuropoda melanoleuca,41.7,27613,32507,2299510000
